period,ratio,keyword
2025-01-15,1.9094,재킷
2025-01-16,2.25472,재킷
2025-01-17,1.38127,재킷
2025-01-18,1.7469,재킷
2025-01-19,1.78752,재킷
2025-01-20,1.64533,재킷
2025-01-21,2.01096,재킷
2025-01-22,1.68596,재킷
2025-01-23,2.0719,재킷
2025-01-24,2.15315,재킷
2025-01-25,1.54377,재킷
2025-01-26,1.9094,재킷
2025-01-27,1.58439,재킷
2025-01-28,1.88909,재킷
2025-01-29,1.50314,재킷
2025-01-30,1.84846,재킷
2025-01-31,1.72658,재킷
2025-02-01,1.88909,재킷
2025-02-02,2.05159,재킷
2025-02-03,1.97034,재킷
2025-02-04,1.97034,재킷
2025-02-05,2.09222,재킷
2025-02-06,1.7469,재킷
2025-02-07,1.88909,재킷
2025-02-08,1.82815,재킷
2025-02-09,2.33597,재킷
2025-02-10,1.99065,재킷
2025-02-11,1.95003,재킷
2025-02-12,1.92971,재킷
2025-02-13,2.19378,재킷
2025-02-14,2.05159,재킷
2025-02-15,2.15315,재킷
2025-02-16,2.39691,재킷
2025-02-17,2.03128,재킷
2025-02-18,2.57972,재킷
2025-02-19,1.36095,재킷
2025-02-20,1.62502,재킷
2025-02-21,2.19378,재킷
2025-02-22,2.68129,재킷
2025-02-23,2.27503,재킷
2025-02-24,2.27503,재킷
2025-02-25,2.03128,재킷
2025-02-26,2.03128,재킷
2025-02-27,2.13284,재킷
2025-02-28,2.25472,재킷
2025-03-01,2.43753,재킷
2025-03-02,2.33597,재킷
2025-03-03,2.55941,재킷
2025-03-04,2.80316,재킷
2025-03-05,2.74223,재킷
2025-03-06,2.03128,재킷
2025-03-07,2.31566,재킷
2025-03-08,2.17347,재킷
2025-03-09,3.45317,재킷
2025-03-10,2.64066,재킷
2025-03-11,2.74223,재킷
2025-03-12,2.51878,재킷
2025-03-13,2.80316,재킷
2025-03-14,2.29534,재킷
2025-03-15,2.76254,재킷
2025-01-16,0.18281,레더재킷
2025-01-24,0.14218,레더재킷
2025-01-28,0.10156,레더재킷
2025-01-31,0.26406,레더재킷
2025-02-05,0.10156,레더재킷
2025-02-11,0.12187,레더재킷
2025-02-17,0.10156,레더재킷
2025-02-18,0.14218,레더재킷
2025-02-19,0.12187,레더재킷
2025-02-21,0.10156,레더재킷
2025-02-22,0.12187,레더재킷
2025-02-25,0.10156,레더재킷
2025-02-26,0.20312,레더재킷
2025-03-02,0.20312,레더재킷
2025-03-03,0.22344,레더재킷
2025-03-04,0.14218,레더재킷
2025-03-05,0.1625,레더재킷
2025-03-06,0.18281,레더재킷
2025-03-07,0.12187,레더재킷
2025-03-08,0.22344,레더재킷
2025-03-09,0.12187,레더재킷
2025-03-10,0.22344,레더재킷
2025-03-11,0.12187,레더재킷
2025-03-12,0.26406,레더재킷
2025-03-13,0.26406,레더재킷
2025-03-14,0.22344,레더재킷
2025-03-15,0.22344,레더재킷
2025-01-15,0.28437,퍼재킷
2025-01-16,0.20312,퍼재킷
2025-01-17,0.12187,퍼재킷
2025-01-18,0.24375,퍼재킷
2025-01-19,0.30469,퍼재킷
2025-01-20,0.14218,퍼재킷
2025-01-21,0.22344,퍼재킷
2025-01-22,0.28437,퍼재킷
2025-01-23,0.14218,퍼재킷
2025-01-25,0.14218,퍼재킷
2025-01-26,0.28437,퍼재킷
2025-01-27,0.18281,퍼재킷
2025-01-28,0.24375,퍼재킷
2025-01-29,0.28437,퍼재킷
2025-01-30,0.1625,퍼재킷
2025-02-01,0.1625,퍼재킷
2025-02-02,0.18281,퍼재킷
2025-02-03,0.14218,퍼재킷
2025-02-04,0.14218,퍼재킷
2025-02-05,0.20312,퍼재킷
2025-02-06,0.10156,퍼재킷
2025-02-07,0.20312,퍼재킷
2025-02-08,0.18281,퍼재킷
2025-02-09,0.20312,퍼재킷
2025-02-10,0.12187,퍼재킷
2025-02-11,0.10156,퍼재킷
2025-02-14,0.10156,퍼재킷
2025-02-18,0.14218,퍼재킷
2025-02-19,0.12187,퍼재킷
2025-02-22,0.10156,퍼재킷
2025-02-23,0.14218,퍼재킷
2025-03-03,0.1625,퍼재킷
2025-03-08,0.12187,퍼재킷
2025-01-15,20.47531,후드집업
2025-01-16,18.32216,후드집업
2025-01-17,18.62685,후드집업
2025-01-18,19.31748,후드집업
2025-01-19,21.59252,후드집업
2025-01-20,21.38939,후드집업
2025-01-21,20.78001,후드집업
2025-01-22,20.43469,후드집업
2025-01-23,18.09872,후드집업
2025-01-24,17.77371,후드집업
2025-01-25,17.83465,후드집업
2025-01-26,17.24558,후드집업
2025-01-27,17.10339,후드집업
2025-01-28,16.47369,후드집업
2025-01-29,19.5003,후드집업
2025-01-30,23.56286,후드집업
2025-01-31,20.78001,후드집업
2025-02-01,23.2988,후드집업
2025-02-02,27.78793,후드집업
2025-02-03,24.63944,후드집업
2025-02-04,24.03006,후드집업
2025-02-05,23.52224,후드집업
2025-02-06,22.08003,후드집업
2025-02-07,20.69876,후드집업
2025-02-08,22.14097,후드집업
2025-02-09,28.01137,후드집업
2025-02-10,24.61913,후드집업
2025-02-11,23.92849,후드집업
2025-02-12,25.77696,후드집업
2025-02-13,24.19256,후드집업
2025-02-14,24.53788,후드집업
2025-02-15,26.56916,후드집업
2025-02-16,31.66768,후드집업
2025-02-17,29.08795,후드집업
2025-02-18,30.26609,후드집업
2025-02-19,29.27076,후드집업
2025-02-20,29.51452,후드집업
2025-02-21,26.81291,후드집업
2025-02-22,30.18484,후드집업
2025-02-23,38.08653,후드집업
2025-02-24,35.62868,후드집업
2025-02-25,33.9224,후드집업
2025-02-26,37.27401,후드집업
2025-02-27,39.40686,후드집업
2025-02-28,40.23969,후드집업
2025-03-01,43.51005,후드집업
2025-03-02,49.11639,후드집업
2025-03-03,50.01015,후드집업
2025-03-04,42.41316,후드집업
2025-03-05,44.24131,후드집업
2025-03-06,43.85537,후드집업
2025-03-07,40.36156,후드집업
2025-03-08,46.88198,후드집업
2025-03-09,61.95409,후드집업
2025-03-10,55.59618,후드집업
2025-03-11,59.00873,후드집업
2025-03-12,60.32906,후드집업
2025-03-13,56.57119,후드집업
2025-03-14,50.23359,후드집업
2025-03-15,55.06804,후드집업
2025-01-15,100.0,패딩
2025-01-16,90.77798,패딩
2025-01-17,80.11375,패딩
2025-01-18,80.3575,패딩
2025-01-19,82.5716,패딩
2025-01-20,68.53544,패딩
2025-01-21,63.07129,패딩
2025-01-22,57.83059,패딩
2025-01-23,56.83526,패딩
2025-01-24,46.98354,패딩
2025-01-25,52.16331,패딩
2025-01-26,51.41174,패딩
2025-01-27,55.43367,패딩
2025-01-28,56.2665,패딩
2025-01-29,61.06032,패딩
2025-01-30,64.9807,패딩
2025-01-31,61.40564,패딩
2025-02-01,63.61974,패딩
2025-02-02,66.95104,패딩
2025-02-03,72.78082,패딩
2025-02-04,81.53564,패딩
2025-02-05,85.55758,패딩
2025-02-06,74.79179,패딩
2025-02-07,80.15437,패딩
2025-02-08,79.32155,패딩
2025-02-09,85.67946,패딩
2025-02-10,68.96201,패딩
2025-02-11,57.30245,패딩
2025-02-12,58.03371,패딩
2025-02-13,53.03676,패딩
2025-02-14,46.19134,패딩
2025-02-15,49.66483,패딩
2025-02-16,51.89924,패딩
2025-02-17,50.15234,패딩
2025-02-18,52.143,패딩
2025-02-19,52.87426,패딩
2025-02-20,46.71947,패딩
2025-02-21,42.7991,패딩
2025-02-22,49.31952,패딩
2025-02-23,54.31647,패딩
2025-02-24,49.09607,패딩
2025-02-25,44.72882,패딩
2025-02-26,39.99593,패딩
2025-02-27,34.93804,패딩
2025-02-28,28.60044,패딩
2025-03-01,29.08795,패딩
2025-03-02,29.31139,패딩
2025-03-03,34.34897,패딩
2025-03-04,33.45521,패딩
2025-03-05,31.80987,패딩
2025-03-06,27.21917,패딩
2025-03-07,25.24883,패딩
2025-03-08,25.0457,패딩
2025-03-09,26.44728,패딩
2025-03-10,23.76599,패딩
2025-03-11,19.92687,패딩
2025-03-12,17.08307,패딩
2025-03-13,16.06743,패딩
2025-03-14,14.52366,패딩
2025-03-15,17.55027,패딩
2025-01-15,14.58055,베스트
2025-01-16,16.31158,베스트
2025-01-17,14.94673,베스트
2025-01-18,12.45006,베스트
2025-01-19,13.88149,베스트
2025-01-20,15.61251,베스트
2025-01-21,13.74833,베스트
2025-01-22,12.48335,베스트
2025-01-23,12.98268,베스트
2025-01-24,13.18242,베스트
2025-01-25,12.38348,베스트
2025-01-26,12.61651,베스트
2025-01-27,12.31691,베스트
2025-01-28,9.9201,베스트
2025-01-29,10.68575,베스트
2025-01-30,13.04926,베스트
2025-01-31,15.07989,베스트
2025-02-01,14.11451,베스트
2025-02-02,13.11584,베스트
2025-02-03,13.18242,베스트
2025-02-04,14.78029,베스트
2025-02-05,14.71371,베스트
2025-02-06,14.34753,베스트
2025-02-07,14.1478,베스트
2025-02-08,15.44607,베스트
2025-02-09,15.54593,베스트
2025-02-10,16.34487,베스트
2025-02-11,14.34753,베스트
2025-02-12,13.08255,베스트
2025-02-13,14.11451,베스트
2025-02-14,14.91344,베스트
2025-02-15,14.68042,베스트
2025-02-16,16.27829,베스트
2025-02-17,15.57922,베스트
2025-02-18,15.17976,베스트
2025-02-19,14.31424,베스트
2025-02-20,12.81624,베스트
2025-02-21,13.28229,베스트
2025-02-22,12.31691,베스트
2025-02-23,13.51531,베스트
2025-02-24,14.94673,베스트
2025-02-25,15.81225,베스트
2025-02-26,14.24766,베스트
2025-02-27,14.91344,베스트
2025-02-28,14.64713,베스트
2025-03-01,14.04793,베스트
2025-03-02,13.31557,베스트
2025-03-03,15.17976,베스트
2025-03-04,14.1478,베스트
2025-03-05,14.38082,베스트
2025-03-06,15.14647,베스트
2025-03-07,16.04527,베스트
2025-03-08,16.27829,베스트
2025-03-09,15.44607,베스트
2025-03-10,16.41145,베스트
2025-03-11,16.8442,베스트
2025-03-12,16.74434,베스트
2025-03-13,17.70972,베스트
2025-03-14,15.74567,베스트
2025-03-15,15.37949,베스트
2025-01-15,99.33422,무스탕
2025-01-16,91.71105,무스탕
2025-01-17,91.41145,무스탕
2025-01-18,98.10252,무스탕
2025-01-19,100.0,무스탕
2025-01-20,82.32356,무스탕
2025-01-21,82.85619,무스탕
2025-01-22,80.42609,무스탕
2025-01-23,67.80958,무스탕
2025-01-24,62.71637,무스탕
2025-01-25,66.21171,무스탕
2025-01-26,82.15712,무스탕
2025-01-27,69.24101,무스탕
2025-01-28,71.10519,무스탕
2025-01-29,74.46737,무스탕
2025-01-30,78.19573,무스탕
2025-01-31,68.67509,무스탕
2025-02-01,74.50066,무스탕
2025-02-02,79.42743,무스탕
2025-02-03,63.74833,무스탕
2025-02-04,62.9494,무스탕
2025-02-05,64.4474,무스탕
2025-02-06,61.05193,무스탕
2025-02-07,64.18109,무스탕
2025-02-08,70.13981,무스탕
2025-02-09,78.09587,무스탕
2025-02-10,57.39014,무스탕
2025-02-11,49.10119,무스탕
2025-02-12,50.36617,무스탕
2025-02-13,45.60585,무스탕
2025-02-14,45.23968,무스탕
2025-02-15,46.93741,무스탕
2025-02-16,43.70838,무스탕
2025-02-17,40.81225,무스탕
2025-02-18,40.81225,무스탕
2025-02-19,40.24633,무스탕
2025-02-20,34.68708,무스탕
2025-02-21,35.41944,무스탕
2025-02-22,38.74833,무스탕
2025-02-23,41.37816,무스탕
2025-02-24,36.51797,무스탕
2025-02-25,30.65912,무스탕
2025-02-26,29.22769,무스탕
2025-02-27,27.0972,무스탕
2025-02-28,25.73235,무스탕
2025-03-01,25.39946,무스탕
2025-03-02,23.13581,무스탕
2025-03-03,26.63115,무스탕
2025-03-04,22.70306,무스탕
2025-03-05,19.8735,무스탕
2025-03-06,18.54194,무스탕
2025-03-07,16.91078,무스탕
2025-03-08,19.54061,무스탕
2025-03-09,20.00665,무스탕
2025-03-10,13.61517,무스탕
2025-03-11,12.45006,무스탕
2025-03-12,12.51664,무스탕
2025-03-13,11.48468,무스탕
2025-03-14,10.68575,무스탕
2025-03-15,13.81491,무스탕
2025-01-15,7.55659,트렌치코트
2025-01-16,6.95739,트렌치코트
2025-01-17,9.15446,트렌치코트
2025-01-18,10.68575,트렌치코트
2025-01-19,10.18641,트렌치코트
2025-01-20,9.38748,트렌치코트
2025-01-21,9.25432,트렌치코트
2025-01-22,11.15179,트렌치코트
2025-01-23,10.75233,트렌치코트
2025-01-24,9.58721,트렌치코트
2025-01-25,12.11717,트렌치코트
2025-01-26,11.81757,트렌치코트
2025-01-27,12.31691,트렌치코트
2025-01-28,11.51797,트렌치코트
2025-01-29,12.35019,트렌치코트
2025-01-30,13.98135,트렌치코트
2025-01-31,12.71637,트렌치코트
2025-02-01,17.84287,트렌치코트
2025-02-02,17.70972,트렌치코트
2025-02-03,13.38215,트렌치코트
2025-02-04,15.47936,트렌치코트
2025-02-05,13.64846,트렌치코트
2025-02-06,14.84687,트렌치코트
2025-02-07,14.28095,트렌치코트
2025-02-08,16.11185,트렌치코트
2025-02-09,18.14247,트렌치코트
2025-02-10,17.84287,트렌치코트
2025-02-11,18.74167,트렌치코트
2025-02-12,17.4434,트렌치코트
2025-02-13,19.64047,트렌치코트
2025-02-14,23.4687,트렌치코트
2025-02-15,28.52862,트렌치코트
2025-02-16,33.35552,트렌치코트
2025-02-17,28.8948,트렌치코트
2025-02-18,28.36218,트렌치코트
2025-02-19,28.82822,트렌치코트
2025-02-20,31.25832,트렌치코트
2025-02-21,29.09454,트렌치코트
2025-02-22,34.35419,트렌치코트
2025-02-23,44.94007,트렌치코트
2025-02-24,38.88149,트렌치코트
2025-02-25,38.8482,트렌치코트
2025-02-26,43.50865,트렌치코트
2025-02-27,47.70306,트렌치코트
2025-02-28,47.20372,트렌치코트
2025-03-01,57.15712,트렌치코트
2025-03-02,68.9747,트렌치코트
2025-03-03,60.75233,트렌치코트
2025-03-04,50.33288,트렌치코트
2025-03-05,52.56324,트렌치코트
2025-03-06,61.21837,트렌치코트
2025-03-07,61.45139,트렌치코트
2025-03-08,73.80159,트렌치코트
2025-03-09,81.89081,트렌치코트
2025-03-10,73.83488,트렌치코트
2025-03-11,81.6245,트렌치코트
2025-03-12,81.89081,트렌치코트
2025-03-13,77.03062,트렌치코트
2025-03-14,75.76564,트렌치코트
2025-03-15,81.3249,트렌치코트
